epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
0,0.6921278834342957,0.6930108666419983,0.5,0.0,0.0,0.0
1,0.689066618680954,0.6917128562927246,0.5,0.5,1.0,0.6666666666666666
2,0.680042028427124,0.6916449069976807,0.5,0.5,1.0,0.6666666666666666
3,0.7033707648515701,0.6902698278427124,0.5,0.5,1.0,0.6666666666666666
4,0.6729549467563629,0.6893957853317261,0.5,0.5,1.0,0.6666666666666666
5,0.675769716501236,0.686510443687439,0.5,0.5,1.0,0.6666666666666666
6,0.6430573165416718,0.6833740472793579,0.5,0.5,1.0,0.6666666666666666
7,0.6858616471290588,0.6794064044952393,0.5,0.5,1.0,0.6666666666666666
8,0.6802607625722885,0.6731630563735962,0.5,0.5,1.0,0.6666666666666666
9,0.7054935544729233,0.6661673784255981,0.5,0.5,1.0,0.6666666666666666
10,0.6206929236650467,0.6584731340408325,0.75,0.6666666666666666,1.0,0.8
11,0.5790238305926323,0.6487743854522705,0.75,0.6666666666666666,1.0,0.8
12,0.6445996761322021,0.6395533084869385,0.75,0.6666666666666666,1.0,0.8
13,0.6574532389640808,0.6305127739906311,0.75,0.6666666666666666,1.0,0.8
14,0.6139013022184372,0.6209970712661743,0.75,0.6666666666666666,1.0,0.8
15,0.6482186689972878,0.6162520051002502,0.75,0.6666666666666666,1.0,0.8
16,0.6023918092250824,0.6079005599021912,0.75,0.6666666666666666,1.0,0.8
17,0.602132722735405,0.5968073010444641,0.75,0.6666666666666666,1.0,0.8
18,0.5028885155916214,0.5838606357574463,0.75,0.6666666666666666,1.0,0.8
19,0.6343035250902176,0.5745145678520203,0.75,0.6666666666666666,1.0,0.8
20,0.7256835699081421,0.5872229337692261,0.75,0.6666666666666666,1.0,0.8
21,0.6993986219167709,0.5720919370651245,0.75,0.6666666666666666,1.0,0.8
22,0.6409048065543175,0.560876190662384,0.75,0.6666666666666666,1.0,0.8
23,0.6611054837703705,0.574761688709259,1.0,1.0,1.0,1.0
24,0.5243581384420395,0.5804081559181213,0.75,1.0,0.5,0.6666666666666666
25,0.6051197946071625,0.5645798444747925,1.0,1.0,1.0,1.0
26,0.5133012682199478,0.5427371263504028,0.75,0.6666666666666666,1.0,0.8
27,0.5076241791248322,0.5291845202445984,0.75,0.6666666666666666,1.0,0.8
28,0.4406234323978424,0.516813337802887,0.75,0.6666666666666666,1.0,0.8
29,0.5003316700458527,0.49413299560546875,0.75,0.6666666666666666,1.0,0.8
30,0.4080514721572399,0.4775843024253845,0.75,0.6666666666666666,1.0,0.8
31,0.3916815519332886,0.4612387418746948,1.0,1.0,1.0,1.0
32,0.3953326568007469,0.4375455379486084,0.75,0.6666666666666666,1.0,0.8
33,0.39780146069824696,0.4252399802207947,0.75,0.6666666666666666,1.0,0.8
34,0.3016677387058735,0.4186304807662964,1.0,1.0,1.0,1.0
35,0.3247196115553379,0.40439555048942566,0.75,0.6666666666666666,1.0,0.8
36,0.3025990091264248,0.4042816758155823,0.75,0.6666666666666666,1.0,0.8
37,0.2696716636419296,0.39337462186813354,1.0,1.0,1.0,1.0
38,0.29236067458987236,0.375624418258667,0.75,0.6666666666666666,1.0,0.8
39,0.22906194254755974,0.4836494028568268,0.75,0.6666666666666666,1.0,0.8
40,0.15912428591400385,0.4861558675765991,0.75,0.6666666666666666,1.0,0.8
41,0.2060064598917961,0.3853057026863098,0.75,0.6666666666666666,1.0,0.8
42,0.059439868200570345,0.4901116192340851,0.75,1.0,0.5,0.6666666666666666
43,0.2970670089125633,0.5061084628105164,0.75,0.6666666666666666,1.0,0.8
